trip_id,stop_sequence,stop_id,arrival_time,departure_time
YB2085-20240401-20240428-1111111,0,CXH,10:30:00,10:30:00
YB2085-20240401-20240428-1111111,1,YWH,11:05:00,11:05:00
YB2109-20240401-20240428-1111111,0,CXH,11:30:00,11:30:00
YB2109-20240401-20240428-1111111,1,YWH,12:05:00,12:05:00
YB2157-20240401-20240428-1111111,0,CXH,13:30:00,13:30:00
YB2157-20240401-20240428-1111111,1,YWH,14:05:00,14:05:00
YB2217-20240401-20240428-1111111,0,CXH,16:00:00,16:00:00
YB2217-20240401-20240428-1111111,1,YWH,16:35:00,16:35:00
YB2229-20240401-20240428-1111111,0,CXH,16:30:00,16:30:00
YB2229-20240401-20240428-1111111,1,YWH,17:05:00,17:05:00
YB2235-20240401-20240428-1111111,0,CXH,16:45:00,16:45:00
YB2235-20240401-20240428-1111111,1,YWH,17:20:00,17:20:00
YB2241-20240401-20240428-1111111,0,CXH,17:00:00,17:00:00
YB2241-20240401-20240428-1111111,1,YWH,17:35:00,17:35:00
YB2259-20240401-20240428-1111111,0,CXH,17:45:00,17:45:00
YB2259-20240401-20240428-1111111,1,YWH,18:20:00,18:20:00
YB2265-20240401-20240428-1111111,0,CXH,18:00:00,18:00:00
YB2265-20240401-20240428-1111111,1,YWH,18:35:00,18:35:00
YB2223-20240401-20240428-1111111,0,CXH,16:15:00,16:15:00
YB2223-20240401-20240428-1111111,1,YWH,16:50:00,16:50:00
YB2025-20240401-20240428-1111111,0,CXH,08:00:00,08:00:00
YB2025-20240401-20240428-1111111,1,YWH,08:35:00,08:35:00
YB2133-20240401-20240428-1111111,0,CXH,12:30:00,12:30:00
YB2133-20240401-20240428-1111111,1,YWH,13:05:00,13:05:00
YB2014-20240401-20240428-1111111,0,YWH,07:30:00,07:30:00
YB2014-20240401-20240428-1111111,1,CXH,08:05:00,08:05:00
YB2020-20240401-20240428-1111111,0,YWH,07:45:00,07:45:00
YB2020-20240401-20240428-1111111,1,CXH,08:20:00,08:20:00
YB2038-20240401-20240428-1111111,0,YWH,08:30:00,08:30:00
YB2038-20240401-20240428-1111111,1,CXH,09:05:00,09:05:00
YB2044-20240401-20240428-1111111,0,YWH,08:45:00,08:45:00
YB2044-20240401-20240428-1111111,1,CXH,09:20:00,09:20:00
YB2056-20240401-20240428-1111111,0,YWH,09:15:00,09:15:00
YB2056-20240401-20240428-1111111,1,CXH,09:50:00,09:50:00
YB2086-20240401-20240428-1111111,0,YWH,10:30:00,10:30:00
YB2086-20240401-20240428-1111111,1,CXH,11:05:00,11:05:00
YB2110-20240401-20240428-1111111,0,YWH,11:30:00,11:30:00
YB2110-20240401-20240428-1111111,1,CXH,12:05:00,12:05:00
YB2182-20240401-20240428-1111111,0,YWH,14:30:00,14:30:00
YB2182-20240401-20240428-1111111,1,CXH,15:05:00,15:05:00
YB2212-20240401-20240428-1111111,0,YWH,16:00:00,16:00:00
YB2212-20240401-20240428-1111111,1,CXH,16:35:00,16:35:00
YB2236-20240401-20240428-1111111,0,YWH,16:45:00,16:45:00
YB2236-20240401-20240428-1111111,1,CXH,17:20:00,17:20:00
YB2242-20240401-20240428-1111111,0,YWH,17:00:00,17:00:00
YB2242-20240401-20240428-1111111,1,CXH,17:35:00,17:35:00
YB2254-20240401-20240428-1111111,0,YWH,17:30:00,17:30:00
YB2254-20240401-20240428-1111111,1,CXH,18:05:00,18:05:00
YB2260-20240401-20240428-1111111,0,YWH,17:45:00,17:45:00
YB2260-20240401-20240428-1111111,1,CXH,18:20:00,18:20:00
YB2266-20240401-20240428-1111111,0,YWH,18:00:00,18:00:00
YB2266-20240401-20240428-1111111,1,CXH,18:35:00,18:35:00
YB2248-20240401-20240428-1111111,0,YWH,17:15:00,17:15:00
YB2248-20240401-20240428-1111111,1,CXH,17:50:00,17:50:00
YB2050-20240401-20240428-1111111,0,YWH,09:00:00,09:00:00
YB2050-20240401-20240428-1111111,1,CXH,09:35:00,09:35:00
YB2134-20240401-20240428-1111111,0,YWH,12:30:00,12:30:00
YB2134-20240401-20240428-1111111,1,CXH,13:05:00,13:05:00
YB1105-20240429-20240930-1111111,0,CXH,08:15:00,08:15:00
YB1105-20240429-20240930-1111111,1,ZNA,08:35:00,08:35:00
YB1113-20240429-20240930-1111111,0,CXH,08:45:00,08:45:00
YB1113-20240429-20240930-1111111,1,ZNA,09:05:00,09:05:00
YB1121-20240429-20240531-0001111,0,CXH,10:00:00,10:00:00
YB1121-20240429-20240531-0001111,1,ZNA,10:20:00,10:20:00
YB1121-20240601-20240930-1111111,0,CXH,10:00:00,10:00:00
YB1121-20240601-20240930-1111111,1,ZNA,10:20:00,10:20:00
YB1127-20240429-20240930-0000111,0,CXH,12:30:00,12:30:00
YB1127-20240429-20240930-0000111,1,ZNA,12:50:00,12:50:00
YB1127-20240601-20240627-1111111,0,CXH,12:30:00,12:30:00
YB1127-20240601-20240627-1111111,1,ZNA,12:50:00,12:50:00
YB1140-20240628-20240902-0000011,0,CXH,12:30:00,12:30:00
YB1140-20240628-20240902-0000011,1,ZNA,12:50:00,12:50:00
YB1147-20240601-20240627-0000111,0,CXH,13:30:00,13:30:00
YB1147-20240601-20240627-0000111,1,ZNA,13:50:00,13:50:00
YB1155-20240916-20240930-1111111,0,CXH,16:00:00,16:00:00
YB1155-20240916-20240930-1111111,1,ZNA,16:20:00,16:20:00
YB1173-20240429-20240531-0001111,0,CXH,16:30:00,16:30:00
YB1173-20240429-20240531-0001111,1,ZNA,16:50:00,16:50:00
YB1173-20240601-20240915-1111111,0,CXH,16:30:00,16:30:00
YB1173-20240601-20240915-1111111,1,ZNA,16:50:00,16:50:00
YB1175-20240916-20240930-1111111,0,CXH,16:45:00,16:45:00
YB1175-20240916-20240930-1111111,1,ZNA,17:05:00,17:05:00
YB1177-20240429-20240915-1111111,0,CXH,17:00:00,17:00:00
YB1177-20240429-20240915-1111111,1,ZNA,17:20:00,17:20:00
YB1179-20240916-20240930-1111111,0,CXH,17:30:00,17:30:00
YB1179-20240916-20240930-1111111,1,ZNA,17:50:00,17:50:00
YB1185-20240429-20240915-1111111,0,CXH,18:00:00,18:00:00
YB1185-20240429-20240915-1111111,1,ZNA,18:20:00,18:20:00
YB1187-20240916-20240930-1011111,0,CXH,18:15:00,18:15:00
YB1187-20240916-20240930-1011111,1,ZNA,18:35:00,18:35:00
YB1189-20240429-20240915-1011111,0,CXH,18:30:00,18:30:00
YB1189-20240429-20240915-1011111,1,ZNA,18:50:00,18:50:00
YB1141-20240628-20240902-1111100,0,CXH,12:30:00,12:30:00
YB1141-20240628-20240902-1111100,1,ZNA,12:50:00,12:50:00
YB1149-20240628-20240902-0000111,0,CXH,13:30:00,13:30:00
YB1149-20240628-20240902-0000111,1,ZNA,13:50:00,13:50:00
YB1178-20240628-20240902-1111111,0,ZNA,17:15:00,17:15:00
YB1178-20240628-20240902-1111111,1,CXH,17:35:00,17:35:00
YB1190-20240628-20240902-1111111,0,ZNA,18:45:00,18:45:00
YB1190-20240628-20240902-1111111,1,CXH,19:05:00,19:05:00
YB1146-20240628-20240902-1111100,0,ZNA,13:15:00,13:15:00
YB1146-20240628-20240902-1111100,1,CXH,13:35:00,13:35:00
YB1154-20240628-20240902-0000111,0,ZNA,14:15:00,14:15:00
YB1154-20240628-20240902-0000111,1,CXH,14:35:00,14:35:00
YB1116-20240628-20240902-0000011,0,ZNA,09:30:00,09:30:00
YB1116-20240628-20240902-0000011,1,CXH,09:50:00,09:50:00
YB1147-20240401-20240428-1111111,0,CXH,17:05:00,17:05:00
YB1147-20240401-20240428-1111111,1,ZNA,17:25:00,17:25:00
YB1119-20240401-20240428-1111111,0,CXH,08:30:00,08:30:00
